E0,omega0,cutoff_order,plateau_intensity_mean,H5_intensity,H11_intensity,H21_intensity
0.0786128206595292,0.04006617325238777,109,-11.452215813856245,-17.7194099801901,-19.945490238804148,-21.07087655876704
0.06640962902145395,0.041139831011083636,107,-11.491203188483098,-17.843390970146473,-20.07636509033464,-21.159263070274704
0.06539045354210331,0.06550282924357352,66,-10.906246193222543,-17.449323975487278,-19.238934057257524,-11.538132373618973
0.052510290718738376,0.061218778018703304,70,-11.10374571703272,-17.70206213885042,-19.834700015981326,-11.666060188984964
0.05560830399725003,0.043799575450125826,100,-11.509011569709118,-17.942997917090054,-20.163215248807944,-19.716283053304
0.09570722095827827,0.04208171056740104,105,-11.395627654001817,-17.505859606996214,-19.72152807246107,-20.05673781777249
0.06464360029178011,0.05956888831435297,73,-11.005345949247616,-17.5453938827892,-19.752178236192574,-11.4597046459613
0.07393991702496318,0.06431380789894589,67,-10.878819026085779,-17.358876150331728,-19.22883083399859,-11.107864926287654
0.0768955577285609,0.06576808218029272,66,-10.83616768909674,-17.30629937646949,-19.28511655596029,-11.318439959543072
0.05369130689878765,0.06030988975611882,72,-11.111872897955774,-17.695101926001456,-19.819244218095417,-11.324643812436715
0.0725027965909001,0.05034100215998198,86,-11.15796124948344,-17.59185976468294,-19.820712733408005,-16.570356117674407
0.060075167421885844,0.042642055957194655,102,-11.491661828124043,-17.898931573155377,-20.124502333994975,-21.02473844336352
0.07954014494121224,0.04887898641426059,90,-11.167441623721706,-17.536068468482338,-19.716655257103724,-17.076106768676738
0.08012411965846065,0.05499371477657575,79,-11.018118905977179,-17.42794411199822,-19.605913207226543,-8.579908378677228
0.057766714734416885,0.04911697074378937,89,-11.337146152720804,-17.809571064484768,-19.97086212615919,-17.22812504293634
0.07504527357726261,0.06790417130752227,62,-10.79042765863989,-17.298324429168307,-19.014718548061598,-11.530012411528507
0.05760412995248255,0.06989374001387658,58,-10.857869152391327,-17.504786254792812,-19.104656624637606,-11.657203845255253
0.07761111754384839,0.04256589930805416,104,-11.38746905960193,-17.678086164780478,-19.90732292033834,-20.34766147819172
0.08321047681848905,0.041330822232073995,107,-11.379738140913418,-17.642696495006852,-19.850196159665835,-20.02411365295918
0.07299564830878058,0.0402627581204356,109,-11.475909281909653,-17.77944098601812,-19.991896789748697,-20.472445504341653
0.06457447376401179,0.04855715139069453,91,-11.302958886778987,-17.723998250634416,-19.95162037512492,-18.501328812536688
0.09454253178498001,0.04580101208765946,97,-11.259543891951358,-17.443296757207712,-19.665123994830182,-19.49331810969368
0.09562082459066329,0.042813309150498684,102,-11.333706529546472,-17.49160036147318,-19.706325198432406,-19.602327671091764
0.07149064635135607,0.06165579202987512,70,-10.925454194954408,-17.426504501381963,-19.488837411894735,-11.32666177160287
0.05469382592088978,0.04963583327167088,88,-11.360272310310597,-17.84858938438244,-20.040613508118323,-16.893721582824273
0.0623657754006825,0.04148590066407295,105,-11.505403573994018,-17.890509712537774,-20.117000033357535,-21.22549771506112
0.07612728105680788,0.04900185835300355,90,-11.181137471711224,-17.57251587070046,-19.78147233896165,-18.43694961013461
0.07551205015308768,0.05304881279014574,82,-11.057784069626127,-17.511269029522637,-19.732481826525405,-8.936637394635952
0.09118141816101477,0.0654760397737365,67,-10.81908736609181,-17.16200555586547,-19.041698872791258,-10.87479876827395
0.06005426070984526,0.06756569686850912,62,-10.89541194050377,-17.495592748945672,-19.148567565462002,-11.60513169577738
0.08259149500115613,0.06097678882466854,71,-10.891631048667392,-17.309734438834344,-19.29991112244689,-11.744801473155183
0.09988139607139888,0.051202490017128885,85,-11.093984465965955,-17.298836141273092,-19.5095578463637,-13.194508310600167
0.09518966328942666,0.04293123892697275,102,-11.327733754677642,-17.492949643835587,-19.70056300502912,-19.68343850960051
0.05666752052323171,0.05522615006142975,78,-11.188796104760993,-17.72495356346947,-19.882411279451556,-8.659824173956114
0.0517801490712477,0.040758376948150474,106,-11.653088374684229,-18.066879054700753,-20.277122731235313,-20.660706375373437
0.09044056728910119,0.04332585001607545,102,-11.318499790690232,-17.52944128422197,-19.734711584277214,-19.40566103092988
0.09969242984974068,0.04691542175840048,95,-11.224849071288228,-17.376177060445627,-19.581897941888734,-18.125613156343988
0.07219344514880491,0.05257423995380464,83,-11.113092922686624,-17.557995346534117,-19.77684935616828,-11.092140429531934
0.05969298665969373,0.056642001066856365,77,-11.117812492109334,-17.657253980130136,-19.758091995050066,-10.77630739492844
0.06006578609202559,0.05109386173498522,85,-11.256658202661491,-17.74259573882055,-19.96862212331258,-15.68633772754467
0.054681741242375105,0.047591694627126105,93,-11.428929193780277,-17.88455883121344,-20.060693064837047,-18.25714360385697
0.06508304302854692,0.059264753671060294,73,-11.0066852315257,-17.543506369545316,-19.71539292230192,-11.65509562187933
0.08422836043920776,0.06605562215301032,67,-10.813085579243273,-17.225661982829248,-19.344867199643303,-10.991921554703712
0.0979182930461054,0.04622211878114345,95,-11.214675056302596,-17.404188071061412,-19.607351049369722,-18.859223913274608
0.08691133913128449,0.05165439715164167,85,-11.05512965804612,-17.410950853007602,-19.56007794778685,-13.297273958153319
0.09281870186295138,0.0444672295838828,99,-11.316702367522668,-17.484824701867794,-19.70941389762708,-19.781788298853254
0.05094867312178584,0.06944526047293065,59,-10.95251477854184,-17.615989783173458,-19.178482429876162,-11.793246580635255
0.05996061902347941,0.04256616037089468,102,-11.49488273962752,-17.901863088471753,-20.114588889472863,-19.933576181703504
